"id","name","location","st_asewkt"
304,"Salinas, CA, USA","0101000020E6100000B35F77BAF3695EC003250516C0564240","SRID=4326;POINT(-121.655501 36.677737)"
305,"El Paso, TX, USA","0101000020E610000050DF32A7CB9F5AC0E65B1FD61BC53F40","SRID=4326;POINT(-106.496805 31.769956)"
306,"Louisville, KY, USA","0101000020E61000001EDD088B8A7055C003ECA35357204340","SRID=4326;POINT(-85.758456 38.252665)"
335,"Lancaster, Lancashire, UK","0101000020E6100000D5CA845FEA6706C0D5E76A2BF6054B40","SRID=4326;POINT(-2.80074 54.046575)"
336,"New Haven, CT, USA","0101000020E6100000EBE0606F623B52C0821ABE8575A74440","SRID=4326;POINT(-72.927883 41.308274)"
338,"Santa Rosa, CA, USA","0101000020E6100000E90FCD3CB9AD5EC0CEFBFF3861384340","SRID=4326;POINT(-122.714431 38.440467)"
348,"Allentown, PA, USA","0101000020E6100000888384285FDF52C0E0F3C308E14D4440","SRID=4326;POINT(-75.490183 40.60843)"
353,"Trenton, NJ, USA","0101000020E6100000293DD34B8CAF52C0D53F8864C81B4440","SRID=4326;POINT(-74.742938 40.217053)"
360,"West Palm Beach, FL, USA","0101000020E610000023DBF97E6A0354C08A743FA720B73A40","SRID=4326;POINT(-80.053375 26.715342)"
368,"Eugene, OR, USA","0101000020E61000000533A6608DC55EC056116E32AA064640","SRID=4326;POINT(-123.086754 44.052069)"
378,"Oxnard, CA, USA","0101000020E6100000406CE9D154CB5DC0F3E505D847194140","SRID=4326;POINT(-119.177052 34.197505)"
398,"Knoxville, TN, USA","0101000020E6100000B6494563EDFA54C0BEA59C2FF6FA4140","SRID=4326;POINT(-83.920739 35.960638)"
405,"San Antonio, TX, USA","0101000020E6100000F418E599979F58C09D836742936C3D40","SRID=4326;POINT(-98.493628 29.424122)"
428,"Roanoke, VA, USA","0101000020E61000009224085740FC53C03B191C25AFA24240","SRID=4326;POINT(-79.941427 37.27097)"
206,"Mobile, AL, USA","0101000020E6100000917D9065C10256C0A9BF5E61C1B13E40","SRID=4326;POINT(-88.043054 30.694357)"
216,"Providence, RI, USA","0101000020E6100000522B4CDF6BDA51C0C2A1B77878E94440","SRID=4326;POINT(-71.412834 41.823989)"
222,"Peoria, IL, USA","0101000020E610000052F355F2B16556C099F38C7DC9584440","SRID=4326;POINT(-89.588986 40.693649)"
225,"Boston, MA, USA","0101000020E6100000C40B2252D3C351C0B16F2711E12D4540","SRID=4326;POINT(-71.059773 42.358431)"
227,"Madison, WI, USA","0101000020E6100000240B98C0AD5956C0257497C459894540","SRID=4326;POINT(-89.40123 43.073052)"
248,"Ann Arbor, MI, USA","0101000020E6100000DB6B41EF8DEF54C0E9EE3A1BF2234540","SRID=4326;POINT(-83.743038 42.280826)"
281,"Tucson, AZ, USA","0101000020E6100000925B936E4BBB5BC0F78E1A13621C4040","SRID=4326;POINT(-110.926479 32.221743)"
293,"Atlanta, GA, USA","0101000020E6100000F25B74B2D41855C00BEF7211DFDF4040","SRID=4326;POINT(-84.387982 33.748995)"
350,"San Diego, CA, USA","0101000020E61000007B884677104A5DC0B07092E68F5B4040","SRID=4326;POINT(-117.157255 32.715329)"
354,"Pensacola, FL, USA","0101000020E6100000C2C073EFE1CD55C0AE8218E8DA6B3E40","SRID=4326;POINT(-87.216915 30.421309)"
363,"Portsmouth, NH, USA","0101000020E6100000DE1D19ABCDB051C0892991442F894540","SRID=4326;POINT(-70.762553 43.071755)"
384,"Greenville, NC, USA","0101000020E610000090300C58725753C07044F7AC6BCE4140","SRID=4326;POINT(-77.366354 35.612661)"
400,"Des Moines, IA, USA","0101000020E61000000873BB97FB6657C05E6397A8DECC4440","SRID=4326;POINT(-93.609106 41.600545)"
426,"Salisbury, MD, USA","0101000020E61000001E4FCB0F5CE652C03E42CD902A2E4340","SRID=4326;POINT(-75.599369 38.360674)"
537,"Hartford, CT, USA","0101000020E6100000FC6D4F90D82B52C0384C3448C1E14440","SRID=4326;POINT(-72.685093 41.763711)"
587,"Suffolk Hall, Hofstra University, Garden City, NY 11530, USA","0101000020E61000008E3F51D9B06652C0D461855B3E5C4440","SRID=4326;POINT(-73.604544 40.720653)"
622,"Miami, FL, USA","0101000020E61000007EE200FA7D0E54C0CE8E54DFF9C93940","SRID=4326;POINT(-80.226439 25.788969)"
689,"Stockton, CA, USA","0101000020E61000002D95B7239C525EC02AA8A8FA95FA4240","SRID=4326;POINT(-121.29078 37.957702)"
42645,"CC Premium Choic","0101000020E610000000000000000000000000000000000000","SRID=4326;POINT(0 0)"
42657,"Akron, OH, USA","0101000020E6100000795DBF60376154C01CB62DCA6C8A4440","SRID=4326;POINT(-81.519005 41.081445)"
42703,"Lakeland, FL, USA","0101000020E61000000A67B796C97C54C02E56D4601A0A3C40","SRID=4326;POINT(-81.949804 28.039465)"
510,"Lexington, KY, USA","0101000020E6100000349E08E23C2055C0D55E44DB31054340","SRID=4326;POINT(-84.503716 38.040584)"
566,"Morristown, NJ, USA","0101000020E610000071E5EC9DD19E52C01AC40776FC654440","SRID=4326;POINT(-74.481544 40.796767)"
707,"San Jose, CA, USA","0101000020E6100000111956F146795EC0315C1D0071AB4240","SRID=4326;POINT(-121.894955 37.339386)"
370092,">WestwoodOne","0101000020E6100000377EF2C17CD456C0C2A8FF07B3174040","SRID=4326;POINT(-91.3201146 32.1851511)"
1403930,"London, UK","0101000020E6100000B78608EEF60FC0BF4243FF0417C14940","SRID=4326;POINT(-0.1254872 51.508515)"
1403931,"Toronto, ON, Canada","0101000020E6100000CD35711786D853C0CD72D9E89CD34540","SRID=4326;POINT(-79.3831843 43.653226)"
1403932,"Manchester, UK","0101000020E6100000A85890C1E5FC01C00D18247D5ABD4A40","SRID=4326;POINT(-2.2484851 53.479324)"
1403935,"Vancouver, BC, Canada","0101000020E6100000D408A2934AC75EC0B56E83DA6FA14840","SRID=4326;POINT(-123.1139268 49.261226)"
1403944,"Puerto Rico","0101000020E610000018B14F00C5A550C0A8E0F08288383240","SRID=4326;POINT(-66.590149 18.220833)"
